,Model,Target,Template,GDT_TS,GDT_HA,SeqLength,identity,positive,coverage,identity(-misres),positive(-misres),coverage(-misres),num_misres
9683,4BVX_A_4KDU_A_3_4,4BVX_A,4KDU_A_3,0.4741,0.3239,215,37,71,137,37,71,137,0
9684,4BVX_A_5F05_A_3_5,4BVX_A,5F05_A_3,0.4951,0.3264,215,32,66,157,31,65,156,1
9685,4BVX_A_3VK9_A_3_4,4BVX_A,3VK9_A_3,0.4988,0.3411,215,34,63,145,34,63,145,0
9686,4BVX_A_6EZY_A_2_5,4BVX_A,6EZY_A_2,0.4397,0.298,215,39,64,139,39,64,139,0
9687,4BVX_A_4RI6_A_2_2,4BVX_A,4RI6_A_2,0.4089,0.2672,215,31,59,141,31,59,141,0
9688,4BVX_A_5F07_A_2_4,4BVX_A,5F07_A_2,0.4421,0.303,215,36,72,133,36,72,133,0
9689,4BVX_A_6RIV_A_2_4,4BVX_A,6RIV_A_2,0.4631,0.3227,215,36,70,152,34,67,144,9
9690,4BVX_A_1JLV_A_3_2,4BVX_A,1JLV_A_3,0.4741,0.314,215,30,68,172,29,66,170,2
9691,4BVX_A_4KH7_A_3_1,4BVX_A,4KH7_A_3,0.4791,0.335,215,33,59,140,33,58,140,4
9692,4BVX_A_1AW9_A_2_1,4BVX_A,1AW9_A_2,0.4323,0.2845,215,37,63,143,37,63,143,0
9693,4BVX_A_6EZY_A_2_2,4BVX_A,6EZY_A_2,0.4323,0.2906,215,39,64,139,39,64,139,0
9694,4BVX_A_1JLV_A_3_4,4BVX_A,1JLV_A_3,0.4754,0.3128,215,30,68,172,29,66,170,2
9695,4BVX_A_4RI6_A_2_3,4BVX_A,4RI6_A_2,0.4224,0.2722,215,31,59,141,31,59,141,0
9696,4BVX_A_6RIV_A_2_5,4BVX_A,6RIV_A_2,0.4458,0.3054,215,36,70,152,34,67,144,9
9697,4BVX_A_4KDU_A_3_3,4BVX_A,4KDU_A_3,0.4643,0.314,215,37,71,137,37,71,137,0
9698,4BVX_A_6ZB6_A_2_3,4BVX_A,6ZB6_A_2,0.4507,0.2993,215,33,68,152,33,68,152,3
9699,4BVX_A_5F07_A_2_5,4BVX_A,5F07_A_2,0.4372,0.303,215,36,72,133,36,72,133,0
9700,4BVX_A_4RI6_A_2_1,4BVX_A,4RI6_A_2,0.4126,0.2648,215,31,59,141,31,59,141,0
9701,4BVX_A_5F06_A_2_3,4BVX_A,5F06_A_2,0.484,0.3202,215,37,73,147,37,73,147,0
9702,4BVX_A_5F06_A_2_1,4BVX_A,5F06_A_2,0.4951,0.3411,215,37,73,147,37,73,147,0
9703,4BVX_A_5F07_A_2_3,4BVX_A,5F07_A_2,0.4298,0.2956,215,36,72,133,36,72,133,0
9704,4BVX_A_4IEL_A_3_2,4BVX_A,4IEL_A_3,0.4889,0.3362,215,31,67,142,31,66,142,3
9705,4BVX_A_3VK9_A_3_1,4BVX_A,3VK9_A_3,0.4963,0.3387,215,34,63,145,34,63,145,0
9706,4BVX_A_6EZY_A_2_4,4BVX_A,6EZY_A_2,0.4261,0.2869,215,39,64,139,39,64,139,0
9707,4BVX_A_6ZB6_A_2_2,4BVX_A,6ZB6_A_2,0.4458,0.298,215,33,68,152,33,68,152,3
9708,4BVX_A_5EY6_A_3_1,4BVX_A,5EY6_A_3,0.4889,0.3251,215,33,61,149,33,61,149,0
9709,4BVX_A_5A4U_A_2_2,4BVX_A,5A4U_A_2,0.4852,0.3264,215,37,62,147,37,62,147,0
9710,4BVX_A_6RIV_A_2_1,4BVX_A,6RIV_A_2,0.4507,0.3067,215,36,70,152,34,67,144,9
9711,4BVX_A_4RI6_A_2_5,4BVX_A,4RI6_A_2,0.4187,0.2709,215,31,59,141,31,59,141,0
9712,4BVX_A_4IEL_A_3_5,4BVX_A,4IEL_A_3,0.4828,0.3276,215,31,67,142,31,66,142,3
9713,4BVX_A_1AXD_A_2_4,4BVX_A,1AXD_A_2,0.4594,0.3239,215,39,70,140,39,70,140,0
9714,4BVX_A_5EY6_A_3_5,4BVX_A,5EY6_A_3,0.4852,0.3227,215,33,61,149,33,61,149,0
9715,4BVX_A_4KDU_A_3_5,4BVX_A,4KDU_A_3,0.4963,0.3337,215,37,71,137,37,71,137,0
9716,4BVX_A_5F07_A_2_1,4BVX_A,5F07_A_2,0.4433,0.303,215,36,72,133,36,72,133,0
9717,4BVX_A_4KH7_A_3_3,4BVX_A,4KH7_A_3,0.5037,0.3559,215,33,59,140,33,58,140,4
9718,4BVX_A_5Y6L_A_3_4,4BVX_A,5Y6L_A_3,0.9594,0.8399,215,204,206,207,204,206,207,0
9719,4BVX_A_5Y6L_A_3_2,4BVX_A,5Y6L_A_3,0.9532,0.8288,215,204,206,207,204,206,207,0
9720,4BVX_A_5A4U_A_2_4,4BVX_A,5A4U_A_2,0.4766,0.3153,215,37,62,147,37,62,147,0
9721,4BVX_A_1AW9_A_2_2,4BVX_A,1AW9_A_2,0.4606,0.3054,215,37,63,143,37,63,143,0
9722,4BVX_A_4KH7_A_3_4,4BVX_A,4KH7_A_3,0.4815,0.3399,215,33,59,140,33,58,140,4
9723,4BVX_A_6NV6_A_3_2,4BVX_A,6NV6_A_3,0.4433,0.2894,215,38,62,143,38,62,143,0
9724,4BVX_A_3VK9_A_3_5,4BVX_A,3VK9_A_3,0.5062,0.3485,215,34,63,145,34,63,145,0
9725,4BVX_A_4IEL_A_3_1,4BVX_A,4IEL_A_3,0.4643,0.3177,215,31,67,142,31,66,142,3
9726,4BVX_A_5A4U_A_2_1,4BVX_A,5A4U_A_2,0.4729,0.3116,215,37,62,147,37,62,147,0
9727,4BVX_A_3VK9_A_3_3,4BVX_A,3VK9_A_3,0.4914,0.3337,215,34,63,145,34,63,145,0
9728,4BVX_A_1AXD_A_2_3,4BVX_A,1AXD_A_2,0.4729,0.3325,215,39,70,140,39,70,140,0
9729,4BVX_A_5EY6_A_3_2,4BVX_A,5EY6_A_3,0.4741,0.3214,215,33,61,149,33,61,149,0
9730,4BVX_A_6RIV_A_3_5,4BVX_A,6RIV_A_3,0.4741,0.3239,215,38,72,158,36,69,150,9
9731,4BVX_A_6EZY_A_3_1,4BVX_A,6EZY_A_3,0.4581,0.3153,215,36,63,147,36,63,147,0
9732,4BVX_A_4RI7_A_3_3,4BVX_A,4RI7_A_3,0.4766,0.314,215,33,62,149,33,62,149,0
9733,4BVX_A_4RI6_A_3_4,4BVX_A,4RI6_A_3,0.4791,0.3202,215,33,62,149,33,62,149,0
9734,4BVX_A_1AXD_A_3_5,4BVX_A,1AXD_A_3,0.5099,0.3473,215,41,73,149,41,73,149,0
9735,4BVX_A_5F07_A_3_5,4BVX_A,5F07_A_3,0.4594,0.3128,215,38,76,144,38,76,144,0
9736,4BVX_A_4RI7_A_2_1,4BVX_A,4RI7_A_2,0.4113,0.266,215,31,59,141,31,59,141,0
9737,4BVX_A_4RI7_A_2_4,4BVX_A,4RI7_A_2,0.42,0.2697,215,31,59,141,31,59,141,0
9738,4BVX_A_6ZB6_A_3_4,4BVX_A,6ZB6_A_3,0.4631,0.3079,215,35,70,158,35,70,158,3
9739,4BVX_A_1AXD_A_3_2,4BVX_A,1AXD_A_3,0.4914,0.335,215,41,73,149,41,73,149,0
9740,4BVX_A_1AXD_A_3_3,4BVX_A,1AXD_A_3,0.4803,0.3288,215,41,73,149,41,73,149,0
9741,4BVX_A_4RI7_A_2_2,4BVX_A,4RI7_A_2,0.4126,0.2635,215,31,59,141,31,59,141,0
9742,4BVX_A_1BYE_A_2_5,4BVX_A,1BYE_A_2,0.4717,0.3276,215,39,70,140,38,69,139,1
9743,4BVX_A_5F07_A_3_2,4BVX_A,5F07_A_3,0.4594,0.3116,215,38,76,144,38,76,144,0
9744,4BVX_A_4RI7_A_3_4,4BVX_A,4RI7_A_3,0.4877,0.3264,215,33,62,149,33,62,149,0
9745,4BVX_A_5F06_A_3_3,4BVX_A,5F06_A_3,0.4655,0.3067,215,37,74,149,37,74,149,0
9746,4BVX_A_6RIV_A_3_2,4BVX_A,6RIV_A_3,0.4569,0.314,215,38,72,158,36,69,150,9
9747,4BVX_A_1BYE_A_2_4,4BVX_A,1BYE_A_2,0.4717,0.3227,215,39,70,140,38,69,139,1
9748,4BVX_A_5F07_A_3_1,4BVX_A,5F07_A_3,0.4594,0.3165,215,38,76,144,38,76,144,0
9749,4BVX_A_6ZB6_A_3_3,4BVX_A,6ZB6_A_3,0.4631,0.3067,215,35,70,158,35,70,158,3
9750,4BVX_A_6ZB6_A_3_2,4BVX_A,6ZB6_A_3,0.4643,0.3091,215,35,70,158,35,70,158,3
9751,4BVX_A_6ZB6_A_3_5,4BVX_A,6ZB6_A_3,0.4594,0.3042,215,35,70,158,35,70,158,3
9752,4BVX_A_6EZY_A_3_4,4BVX_A,6EZY_A_3,0.4655,0.3214,215,36,63,147,36,63,147,0
9753,4BVX_A_5F06_A_3_4,4BVX_A,5F06_A_3,0.4791,0.3202,215,37,74,149,37,74,149,0
9754,4BVX_A_1BYE_A_2_3,4BVX_A,1BYE_A_2,0.4815,0.3411,215,39,70,140,38,69,139,1
9755,4BVX_A_1BYE_A_3_4,4BVX_A,1BYE_A_3,0.4815,0.3313,215,41,73,149,41,73,149,0
9756,4BVX_A_5F07_A_3_4,4BVX_A,5F07_A_3,0.4458,0.3042,215,38,76,144,38,76,144,0
9757,4BVX_A_1BYE_A_2_2,4BVX_A,1BYE_A_2,0.4594,0.3128,215,39,70,140,38,69,139,1
9758,4BVX_A_5F06_A_3_2,4BVX_A,5F06_A_3,0.4901,0.3276,215,37,74,149,37,74,149,0
9759,4BVX_A_1BYE_A_3_2,4BVX_A,1BYE_A_3,0.4717,0.3214,215,41,73,149,41,73,149,0
9760,4BVX_A_1BYE_A_3_1,4BVX_A,1BYE_A_3,0.4951,0.3374,215,41,73,149,41,73,149,0
9761,4BVX_A_6RIV_A_3_4,4BVX_A,6RIV_A_3,0.4631,0.319,215,38,72,158,36,69,150,9
9762,4BVX_A_5F06_A_3_5,4BVX_A,5F06_A_3,0.4754,0.314,215,37,74,149,37,74,149,0
9763,4BVX_A_4RI6_A_3_2,4BVX_A,4RI6_A_3,0.4926,0.3288,215,33,62,149,33,62,149,0
9764,4BVX_A_5F06_A_3_1,4BVX_A,5F06_A_3,0.4815,0.3177,215,37,74,149,37,74,149,0
9765,4BVX_A_4RI6_A_3_3,4BVX_A,4RI6_A_3,0.46799999999999997,0.3042,215,33,62,149,33,62,149,0
9766,4BVX_A_1AXD_A_3_1,4BVX_A,1AXD_A_3,0.5135,0.3522,215,41,73,149,41,73,149,0
9767,4BVX_A_1BYE_A_3_3,4BVX_A,1BYE_A_3,0.4606,0.3128,215,41,73,149,41,73,149,0
9768,4BVX_A_4RI6_A_3_5,4BVX_A,4RI6_A_3,0.46799999999999997,0.3067,215,33,62,149,33,62,149,0
9769,4BVX_A_4RI7_A_3_5,4BVX_A,4RI7_A_3,0.4791,0.319,215,33,62,149,33,62,149,0
9770,4BVX_A_6RIV_A_3_3,4BVX_A,6RIV_A_3,0.4631,0.3153,215,38,72,158,36,69,150,9
9771,4BVX_A_6RIV_A_3_1,4BVX_A,6RIV_A_3,0.4618,0.3153,215,38,72,158,36,69,150,9
9772,4BVX_A_4RI7_A_2_5,4BVX_A,4RI7_A_2,0.4187,0.2734,215,31,59,141,31,59,141,0
9773,4BVX_A_5F07_A_3_3,4BVX_A,5F07_A_3,0.4569,0.3116,215,38,76,144,38,76,144,0
9774,4BVX_A_6ZB6_A_3_1,4BVX_A,6ZB6_A_3,0.4667,0.3042,215,35,70,158,35,70,158,3
9775,4BVX_A_4RI6_A_3_1,4BVX_A,4RI6_A_3,0.4778,0.3227,215,33,62,149,33,62,149,0
9776,4BVX_A_1AXD_A_3_4,4BVX_A,1AXD_A_3,0.4852,0.335,215,41,73,149,41,73,149,0
9777,4BVX_A_4RI7_A_3_2,4BVX_A,4RI7_A_3,0.4631,0.3042,215,33,62,149,33,62,149,0
9778,4BVX_A_1BYE_A_3_5,4BVX_A,1BYE_A_3,0.4963,0.3374,215,41,73,149,41,73,149,0
9779,4BVX_A_4RI7_A_2_3,4BVX_A,4RI7_A_2,0.4126,0.266,215,31,59,141,31,59,141,0
9780,4BVX_A_4RI7_A_3_1,4BVX_A,4RI7_A_3,0.4766,0.3177,215,33,62,149,33,62,149,0
9781,4BVX_A_6EZY_A_3_2,4BVX_A,6EZY_A_3,0.4692,0.3276,215,36,63,147,36,63,147,0
9782,4BVX_A_6EZY_A_3_3,4BVX_A,6EZY_A_3,0.4717,0.3288,215,36,63,147,36,63,147,0
9783,4BVX_A_6EZY_A_3_5,4BVX_A,6EZY_A_3,0.4729,0.3214,215,36,63,147,36,63,147,0
9784,4BVX_A_1BYE_A_2_1,4BVX_A,1BYE_A_2,0.4865,0.3374,215,39,70,140,38,69,139,1
9785,4C08_A_4G56_A_2_1,4C08_A,4G56_A_2,0.4646,0.2831,382,64,103,276,64,103,276,5
9786,4C08_A_1G6Q_1_1_1,4C08_A,1G6Q_1_1,0.7723,0.5954,382,115,171,314,115,171,314,0
9787,4C08_A_6S77_A_2_4,4C08_A,6S77_A_2,0.6723,0.5123,382,120,170,319,120,170,319,0
9788,4C08_A_4M36_A_2_3,4C08_A,4M36_A_2,0.4615,0.3023,382,78,125,275,78,125,275,0
9789,4C08_A_6PDM_A_2_4,4C08_A,6PDM_A_2,0.5369,0.3646,382,77,123,288,75,120,287,14
9790,4C08_A_4X41_A_1_1,4C08_A,4X41_A_1,0.7177,0.5423,382,120,188,343,110,171,299,40
9791,4C08_A_5FUL_A_1_2,4C08_A,5FUL_A_1,0.7654,0.5715,382,131,188,348,125,181,322,22
9792,4C08_A_6CU3_A_1_2,4C08_A,6CU3_A_1,0.7315,0.5346,382,113,175,318,113,174,317,1
9793,4C08_A_3R0Q_A_1_1,4C08_A,3R0Q_A_1,0.7115,0.5538,382,115,186,315,115,186,315,0
9794,4C08_A_6DNZ_B_2_1,4C08_A,6DNZ_B_2,0.4331,0.2638,382,85,139,321,75,124,291,45
9795,4C08_A_4C4A_A_2_4,4C08_A,4C4A_A_2,0.4838,0.3415,382,77,127,303,74,120,284,19
9796,4C08_A_3UA4_A_3_5,4C08_A,3UA4_A_3,0.4354,0.2431,382,60,112,280,60,112,280,0
9797,4C08_A_6PDM_A_2_5,4C08_A,6PDM_A_2,0.5162,0.3431,382,77,123,288,75,120,287,14
9798,4C08_A_5FUL_A_1_3,4C08_A,5FUL_A_1,0.7623,0.5692,382,131,188,348,125,181,322,22
9799,4C08_A_1G6Q_1_1_3,4C08_A,1G6Q_1_1,0.7738,0.5992,382,115,171,314,115,171,314,0
9800,4C08_A_4G56_A_2_2,4C08_A,4G56_A_2,0.4531,0.2715,382,64,103,276,64,103,276,5
9801,4C08_A_1OR8_A_1_2,4C08_A,1OR8_A_1,0.7431,0.57,382,116,177,329,112,168,305,24
9802,4C08_A_1F3L_A_1_2,4C08_A,1F3L_A_1,0.7331,0.5508,382,119,179,316,119,179,316,0
9803,4C08_A_4G56_A_2_4,4C08_A,4G56_A_2,0.4369,0.2546,382,64,103,276,64,103,276,5
9804,4C08_A_5FUL_A_1_4,4C08_A,5FUL_A_1,0.7631,0.57,382,131,188,348,125,181,322,22
9805,4C08_A_6CU3_A_1_3,4C08_A,6CU3_A_1,0.7238,0.5331,382,113,175,318,113,174,317,1
9806,4C08_A_2FYT_A_1_1,4C08_A,2FYT_A_1,0.7631,0.6069,382,117,177,324,113,170,310,14
9807,4C08_A_6S77_A_2_2,4C08_A,6S77_A_2,0.6823,0.52,382,120,170,319,120,170,319,0
9808,4C08_A_6DNZ_A_2_2,4C08_A,6DNZ_A_2,0.6731,0.5015,382,107,157,327,105,154,323,23
9809,4C08_A_1G6Q_1_1_5,4C08_A,1G6Q_1_1,0.7762,0.5969,382,115,171,314,115,171,314,0
9810,4C08_A_4M36_A_2_1,4C08_A,4M36_A_2,0.46,0.3031,382,78,125,275,78,125,275,0
9811,4C08_A_1OR8_A_1_5,4C08_A,1OR8_A_1,0.7646,0.5846,382,116,177,329,112,168,305,24
9812,4C08_A_4GQB_A_2_3,4C08_A,4GQB_A_2,0.4046,0.2531,382,59,99,276,59,99,276,0
9813,4C08_A_6DNZ_B_2_4,4C08_A,6DNZ_B_2,0.4215,0.2469,382,85,139,321,75,124,291,45
9814,4C08_A_6S77_A_2_3,4C08_A,6S77_A_2,0.6723,0.5031,382,120,170,319,120,170,319,0
9815,4C08_A_6DNZ_B_2_3,4C08_A,6DNZ_B_2,0.4292,0.2531,382,85,139,321,75,124,291,45
9816,4C08_A_2FYT_A_1_5,4C08_A,2FYT_A_1,0.7631,0.6023,382,117,177,324,113,170,310,14
9817,4C08_A_1F3L_A_1_1,4C08_A,1F3L_A_1,0.7385,0.5623,382,119,179,316,119,179,316,0
9818,4C08_A_6DNZ_A_2_5,4C08_A,6DNZ_A_2,0.6508,0.48,382,107,157,327,105,154,323,23
9819,4C08_A_1OR8_A_1_4,4C08_A,1OR8_A_1,0.7462,0.5785,382,116,177,329,112,168,305,24
9820,4C08_A_4GQB_A_2_1,4C08_A,4GQB_A_2,0.4,0.2485,382,59,99,276,59,99,276,0
9821,4C08_A_6CU3_A_1_4,4C08_A,6CU3_A_1,0.7123,0.5115,382,113,175,318,113,174,317,1
9822,4C08_A_3WST_A_2_3,4C08_A,3WST_A_2,0.4477,0.2977,382,66,127,344,66,127,344,3
9823,4C08_A_3WST_A_2_4,4C08_A,3WST_A_2,0.4385,0.2931,382,66,127,344,66,127,344,3
9824,4C08_A_4X41_A_1_4,4C08_A,4X41_A_1,0.7292,0.5608,382,120,188,343,110,171,299,40
9825,4C08_A_3R0Q_A_1_3,4C08_A,3R0Q_A_1,0.7215,0.5646,382,115,186,315,115,186,315,0
9826,4C08_A_6DNZ_A_2_3,4C08_A,6DNZ_A_2,0.6431,0.4654,382,107,157,327,105,154,323,23
9827,4C08_A_6PDM_A_2_2,4C08_A,6PDM_A_2,0.5238,0.3477,382,77,123,288,75,120,287,14
9828,4C08_A_4X41_A_1_5,4C08_A,4X41_A_1,0.7177,0.5346,382,120,188,343,110,171,299,40
9829,4C08_A_4X41_A_1_2,4C08_A,4X41_A_1,0.7169,0.54,382,120,188,343,110,171,299,40
9830,4C08_A_5FUL_A_1_1,4C08_A,5FUL_A_1,0.7608,0.5685,382,131,188,348,125,181,322,22
9831,4C08_A_6PDM_A_2_3,4C08_A,6PDM_A_2,0.5169,0.3431,382,77,123,288,75,120,287,14
9832,4C08_A_6DNZ_A_2_1,4C08_A,6DNZ_A_2,0.6454,0.4738,382,107,157,327,105,154,323,23
9833,4C08_A_2FYT_A_1_3,4C08_A,2FYT_A_1,0.7615,0.5931,382,117,177,324,113,170,310,14
9834,4C08_A_1G6Q_1_1_4,4C08_A,1G6Q_1_1,0.78,0.6008,382,115,171,314,115,171,314,0
9835,4C08_A_4G56_A_2_3,4C08_A,4G56_A_2,0.4292,0.2492,382,64,103,276,64,103,276,5
9836,4C08_A_4Y30_A_1_2,4C08_A,4Y30_A_1,0.9469,0.8269,382,325,340,351,316,329,337,14
9837,4C08_A_4C4A_A_2_1,4C08_A,4C4A_A_2,0.4877,0.3369,382,77,127,303,74,120,284,19
9838,4C08_A_6DNZ_B_2_5,4C08_A,6DNZ_B_2,0.4277,0.2585,382,85,139,321,75,124,291,45
9839,4C08_A_1G6Q_1_1_2,4C08_A,1G6Q_1_1,0.7762,0.6015,382,115,171,314,115,171,314,0
9840,4C08_A_1OR8_A_1_1,4C08_A,1OR8_A_1,0.7515,0.5723,382,116,177,329,112,168,305,24
9841,4C08_A_5G02_A_1_2,4C08_A,5G02_A_1,0.7662,0.56,382,132,185,331,132,185,331,0
9842,4C08_A_4C4A_A_2_5,4C08_A,4C4A_A_2,0.4946,0.35,382,77,127,303,74,120,284,19
9843,4C08_A_5G02_A_1_5,4C08_A,5G02_A_1,0.76,0.5523,382,132,185,331,132,185,331,0
9844,4C08_A_3UA4_A_3_2,4C08_A,3UA4_A_3,0.4223,0.2362,382,60,112,280,60,112,280,0
9845,4C08_A_4G56_A_2_5,4C08_A,4G56_A_2,0.4585,0.2762,382,64,103,276,64,103,276,5
9846,4C08_A_1OR8_A_1_3,4C08_A,1OR8_A_1,0.7477,0.5685,382,116,177,329,112,168,305,24
9847,4C08_A_6DNZ_B_2_2,4C08_A,6DNZ_B_2,0.44,0.2654,382,85,139,321,75,124,291,45
9848,4C08_A_4C4A_A_2_2,4C08_A,4C4A_A_2,0.5008,0.3531,382,77,127,303,74,120,284,19
9849,4C08_A_2FYT_A_1_2,4C08_A,2FYT_A_1,0.7662,0.6085,382,117,177,324,113,170,310,14
9850,4C08_A_4M36_A_2_5,4C08_A,4M36_A_2,0.4585,0.3008,382,78,125,275,78,125,275,0
9851,4C08_A_1F3L_A_1_4,4C08_A,1F3L_A_1,0.7377,0.5638,382,119,179,316,119,179,316,0
9852,4C08_A_3UA4_A_3_1,4C08_A,3UA4_A_3,0.4238,0.2362,382,60,112,280,60,112,280,0
9853,4C08_A_4LWO_A_2_3,4C08_A,4LWO_A_2,0.5208,0.3646,382,115,168,337,104,156,308,26
9854,4C08_A_3UA4_A_3_3,4C08_A,3UA4_A_3,0.4154,0.2285,382,60,112,280,60,112,280,0
9855,4C08_A_3R0Q_A_1_5,4C08_A,3R0Q_A_1,0.7046,0.5454,382,115,186,315,115,186,315,0
9856,4C08_A_4X41_A_1_3,4C08_A,4X41_A_1,0.7292,0.5492,382,120,188,343,110,171,299,40
9857,4C08_A_6CU3_A_1_1,4C08_A,6CU3_A_1,0.7138,0.5192,382,113,175,318,113,174,317,1
9858,4C08_A_4X41_A_2_3,4C08_A,4X41_A_2,0.7577,0.5708,382,120,191,363,112,176,319,40
9859,4C08_A_3Q7E_A_3_1,4C08_A,3Q7E_A_3,0.7831,0.6031,382,118,184,349,113,172,321,27
9860,4C08_A_1ORH_A_2_3,4C08_A,1ORH_A_2,0.7462,0.56,382,118,183,352,112,172,317,34
9861,4C08_A_4X41_A_2_4,4C08_A,4X41_A_2,0.7692,0.5831,382,120,191,363,112,176,319,40
9862,4C08_A_1ORH_A_3_2,4C08_A,1ORH_A_3,0.7662,0.5715,382,120,186,361,114,176,326,34
9863,4C08_A_6NT2_A_3_2,4C08_A,6NT2_A_3,0.7915,0.6254,382,120,186,353,116,178,338,14
9864,4C08_A_4HC4_A_2_3,4C08_A,4HC4_A_2,0.9708,0.8692,382,344,358,378,307,318,328,49
9865,4C08_A_5FUL_A_2_2,4C08_A,5FUL_A_2,0.7715,0.5831,382,130,188,350,124,181,324,22
9866,4C08_A_2FYT_A_3_4,4C08_A,2FYT_A_3,0.7592,0.5992,382,115,175,332,111,168,318,14
9867,4C08_A_5FUL_A_2_5,4C08_A,5FUL_A_2,0.7592,0.5692,382,130,188,350,124,181,324,22
9868,4C08_A_1ORI_A_1_3,4C08_A,1ORI_A_1,0.7454,0.5554,382,116,177,329,113,170,308,21
9869,4C08_A_4X41_A_3_3,4C08_A,4X41_A_3,0.7577,0.5708,382,120,191,363,112,176,319,40
9870,4C08_A_5DST_A_3_4,4C08_A,5DST_A_3,0.7846,0.62,382,114,181,338,113,177,324,14
9871,4C08_A_3Q7E_A_2_2,4C08_A,3Q7E_A_2,0.7523,0.5838,382,116,181,340,111,168,312,27
9872,4C08_A_4X41_A_2_5,4C08_A,4X41_A_2,0.7585,0.5685,382,120,191,363,112,176,319,40
9873,4C08_A_1ORI_A_1_2,4C08_A,1ORI_A_1,0.7362,0.5562,382,116,177,329,113,170,308,21
9874,4C08_A_6NT2_A_2_5,4C08_A,6NT2_A_2,0.7662,0.6054,382,118,183,344,114,174,329,14
9875,4C08_A_1OR8_A_3_4,4C08_A,1OR8_A_3,0.7892,0.6069,382,119,184,349,114,172,321,27
9876,4C08_A_1OR8_A_3_5,4C08_A,1OR8_A_3,0.7923,0.6154,382,119,184,349,114,172,321,27
9877,4C08_A_1ORI_A_1_4,4C08_A,1ORI_A_1,0.7492,0.5669,382,116,177,329,113,170,308,21
9878,4C08_A_4HC4_A_3_5,4C08_A,4HC4_A_3,0.9746,0.8615,382,337,350,378,307,318,328,49
9879,4C08_A_4HC4_A_1_5,4C08_A,4HC4_A_1,0.9746,0.8615,382,323,336,347,307,318,328,21
9880,4C08_A_1ORI_A_3_5,4C08_A,1ORI_A_3,0.7823,0.5923,382,120,185,352,115,174,324,27
9881,4C08_A_5DST_A_2_5,4C08_A,5DST_A_2,0.7738,0.5969,382,114,181,335,113,177,324,11
9882,4C08_A_1ORI_A_3_3,4C08_A,1ORI_A_3,0.7677,0.5715,382,120,185,352,115,174,324,27
9883,4C08_A_6CU3_A_3_4,4C08_A,6CU3_A_3,0.7162,0.5154,382,111,170,319,111,169,317,2
9884,4C08_A_1OR8_A_3_1,4C08_A,1OR8_A_3,0.7869,0.6092,382,119,184,349,114,172,321,27
9885,4C08_A_5FUL_A_2_4,4C08_A,5FUL_A_2,0.7615,0.57,382,130,188,350,124,181,324,22
9886,4C08_A_6NT2_A_2_1,4C08_A,6NT2_A_2,0.7646,0.6046,382,118,183,344,114,174,329,14
9887,4C08_A_1ORI_A_2_3,4C08_A,1ORI_A_2,0.7508,0.5646,382,118,182,343,113,170,315,27
9888,4C08_A_4HC4_A_1_1,4C08_A,4HC4_A_1,0.9685,0.8315,382,323,336,347,307,318,328,21
9889,4C08_A_4X41_A_2_1,4C08_A,4X41_A_2,0.7708,0.5808,382,120,191,363,112,176,319,40
9890,4C08_A_1OR8_A_3_3,4C08_A,1OR8_A_3,0.7762,0.5915,382,119,184,349,114,172,321,27
9891,4C08_A_4Y2H_A_2_3,4C08_A,4Y2H_A_2,0.9608,0.8608,382,325,338,349,317,329,337,12
9892,4C08_A_1OR8_A_2_3,4C08_A,1OR8_A_2,0.7562,0.58,382,117,181,340,112,168,312,27
9893,4C08_A_1ORH_A_2_5,4C08_A,1ORH_A_2,0.7431,0.5592,382,118,183,352,112,172,317,34
9894,4C08_A_1ORH_A_3_3,4C08_A,1ORH_A_3,0.7708,0.5777,382,120,186,361,114,176,326,34
9895,4C08_A_6NT2_A_2_4,4C08_A,6NT2_A_2,0.7631,0.6069,382,118,183,344,114,174,329,14
9896,4C08_A_1ORH_A_3_4,4C08_A,1ORH_A_3,0.7731,0.5754,382,120,186,361,114,176,326,34
9897,4C08_A_3Q7E_A_2_5,4C08_A,3Q7E_A_2,0.7569,0.5792,382,116,181,340,111,168,312,27
9898,4C08_A_1ORI_A_3_2,4C08_A,1ORI_A_3,0.7731,0.5792,382,120,185,352,115,174,324,27
9899,4C08_A_5FUL_A_2_3,4C08_A,5FUL_A_2,0.7569,0.5654,382,130,188,350,124,181,324,22
9900,4C08_A_5DST_A_1_5,4C08_A,5DST_A_1,0.7338,0.5615,382,114,178,313,111,172,304,8
9901,4C08_A_1OR8_A_2_2,4C08_A,1OR8_A_2,0.7569,0.5808,382,117,181,340,112,168,312,27
9902,4C08_A_4Y2H_A_1_2,4C08_A,4Y2H_A_1,0.9546,0.8431,382,325,338,350,317,329,337,13
9903,4C08_A_1OR8_A_2_5,4C08_A,1OR8_A_2,0.7638,0.5908,382,117,181,340,112,168,312,27
9904,4C08_A_1ORH_A_3_5,4C08_A,1ORH_A_3,0.7792,0.5885,382,120,186,361,114,176,326,34
9905,4C08_A_4HC4_A_2_1,4C08_A,4HC4_A_2,0.9685,0.8315,382,344,358,378,307,318,328,49
9906,4C08_A_5DST_A_3_1,4C08_A,5DST_A_3,0.7654,0.5831,382,114,181,338,113,177,324,14
9907,4C08_A_6NT2_A_2_2,4C08_A,6NT2_A_2,0.7608,0.6,382,118,183,344,114,174,329,14
9908,4C08_A_1ORI_A_2_1,4C08_A,1ORI_A_2,0.7508,0.57,382,118,182,343,113,170,315,27
